Barrio;Anio;Trimestre;Valor;Ambientes
Caballito;2025;2;421670.65;1
Flores;2025;2;405779.75;1
Núñez;2025;2;457290.13;1
Palermo;2025;2;463474.2;1
Recoleta;2025;2;441312.74;1
San Nicolás;2025;2;393521.48;1
Villa Crespo;2025;2;425367.85;1
Villa Urquiza;2025;2;413525.5;1
Almagro;2025;3;451433.41;1
Balvanera;2025;3;405134.04;1
Belgrano;2025;3;508880.66;1
Caballito;2025;3;453034.95;1
Flores;2025;3;418243.28;1
Núñez;2025;3;495715.72;1
Palermo;2025;3;491731.84;1
Recoleta;2025;3;466873.48;1
San Nicolás;2025;3;431198.99;1
Villa Crespo;2025;3;461683.97;1
Villa Urquiza;2025;3;445771.4;1
